ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
53,37,4.8272,-74.072,PCL,g/h,0.05717459,0.03989562,0.04236061,0.06198801,0.17211268,0.35679295,0.35427769,0.35217575,0.39454414,0.35480142,0.42833365,0.38322343,0.3871895,0.38766662,0.39299402,0.41107075,0.41826234,0.36497669,0.30468166,0.29600293,0.26959031,0.23311295,0.16205545,0.10761277,0.05717459,
42,39,4.728607,-74.05397,TERP,mol/h,4.525e-05,2.862e-05,3.018e-05,4.271e-05,0.00013063,0.00028619,0.00030239,0.00031754,0.00035541,0.00032565,0.00036344,0.00033043,0.00032856,0.00032742,0.00033496,0.00034927,0.00036369,0.00032499,0.00027102,0.00025446,0.00023191,0.00020065,0.000139,9.179e-05,4.525e-05,
53,37,4.8272,-74.072,NOX,g/h,889.09811116,541.18564538,521.79733455,749.82022144,2447.79224518,6525.4416226,8750.19118964,7569.0759693,7731.95147301,6823.81778803,7249.83694453,6727.87127449,6897.78738679,7258.45634584,7696.04982873,8679.45007027,8673.05416013,8038.28202681,6727.60408157,6285.64835582,5730.83459164,4770.19415702,3131.01674534,1884.2968386,889.09811116,
42,39,4.728607,-74.05397,XYL,mol/h,0.02993447,0.02114754,0.02010527,0.02579273,0.08880454,0.32067362,0.52591466,0.35632942,0.2913981,0.20503613,0.2317791,0.22264763,0.24128853,0.27758154,0.3226073,0.46854694,0.43435758,0.39023005,0.28246606,0.20103881,0.16349026,0.13550065,0.09215976,0.04614822,0.02993447,
42,39,4.728607,-74.05397,OLE,mol/h,0.0658463,0.04144646,0.03866321,0.05094688,0.15447869,0.54508372,0.86869321,0.6433188,0.61301532,0.53173272,0.57715468,0.55338599,0.5697146,0.61869443,0.67676314,0.7930065,0.76947776,0.74276695,0.61835949,0.53882267,0.47464787,0.38475729,0.2354159,0.11860173,0.0658463,
42,39,4.728607,-74.05397,ETHA,mol/h,0.2265319,0.123647,0.10325714,0.1343448,0.31789129,1.52377834,2.67572419,1.97158542,2.15768236,2.23112339,2.32094672,2.26824842,2.27054465,2.42331828,2.56087445,2.3631977,2.37765372,2.56735211,2.50227245,2.53347174,2.33045408,1.82290343,0.98863795,0.44577105,0.2265319,
42,39,4.728607,-74.05397,PM 2.5 TIRE,g/h,0.05956077,0.03463175,0.03144705,0.04186753,0.12405177,0.46329146,0.74077863,0.55187056,0.56082415,0.52249351,0.55267615,0.53293985,0.5424887,0.5843945,0.63066031,0.67764413,0.66526876,0.65607966,0.58491493,0.55104142,0.49755428,0.39617411,0.23265179,0.11341797,0.05956077,
42,39,4.728607,-74.05397,VOC,g/h,30.39416158,19.45819717,18.06842346,23.61631384,73.01963534,266.4778526,430.0818257,306.65928328,285.61162287,241.87176801,263.43730966,253.320522,263.27748535,289.99619926,321.21548391,389.59698442,372.69245848,353.75369653,290.51652718,249.24232145,218.10062382,175.85060552,107.38061266,53.34686204,30.39416158,
42,39,4.728607,-74.05397,PNO3,g/h,0.00629749,0.00437508,0.00461593,0.00672613,0.01872929,0.03992607,0.04149343,0.04026969,0.04433584,0.03965402,0.04757339,0.04275365,0.04323623,0.0434959,0.04432751,0.04689694,0.04760962,0.04211017,0.03499815,0.03346223,0.03034403,0.02617738,0.01809618,0.01180947,0.00629749,
53,37,4.8272,-74.072,PM10,g/h,23.29911751,15.40599702,15.9738092,23.04448286,66.80975296,151.37391144,172.07003332,164.96951169,177.51910744,158.70522394,182.28326304,165.75926221,167.46430998,169.70516615,174.07996067,185.74169266,189.6783589,173.52102205,144.79499962,135.76344356,123.02258443,105.14983617,71.79453598,45.40656309,23.29911751,
