Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
AK_45_AC_170,HABIL,1,3493,6,1.745554389,0.52245685,2.259469514,17.46733333,86.00666667,34.04135637,2049.298849,15.60533333,22.61,43.82666666,79.79706606,7.366235108,15.32281491,35.40510601,3.268319849,6.798569334,6.299174534,1.885387763,8.153737813,122.6002289,14.05605053,737.5394596,14.20121082,1.361324391,538.3820291,16.12729375,9.349045875,10.12845027,12.35,717.3386666,277.2504903,190.3239717,1.669660719,0.499741334,2.161231709
AK_45_AC_170,HABIL,1,3493,7,0.531255683,0.159008606,0.687664634,15.428,126.7046667,25.19451685,1516.71672,20.83666667,23.56,46.10666666,67.01404092,6.186207154,12.86818922,27.8127638,2.56745476,5.340670438,2.883959425,0.863189578,3.733036588,90.73826254,10.40309317,545.863982,7.370610151,0.70654478,279.4271628,19.69680144,11.41830136,12.37021393,13.61666666,743.7866666,205.1972334,140.8616172,0.303574676,0.090862061,0.39295122
AK_45_AC_170,HABIL,1,3493,8,1.328139208,0.397521516,1.719161586,13.38866667,123.7786667,28.27586772,1702.214875,20.216,27.10666666,48.32333334,90.02348618,8.310257471,17.28651546,45.47658036,4.198038842,8.732516845,10.16975166,3.043879038,13.16386587,101.8357734,11.67541684,612.6244786,4.813353722,0.461406841,182.4790278,22.87925408,13.26317975,14.36889478,11.90666666,574.6613334,230.2933556,158.0893367,1.290192374,0.386163759,1.670042684
AK_45_AC_170,HABIL,1,3493,9,2.580384748,0.772327517,3.340085368,10.46266667,103.2966667,29.98663686,1805.203639,16.31466667,29.95666666,43.76333334,95.44658775,8.81087539,18.32787181,41.9128279,3.869061353,8.048196958,6.488908705,1.94217655,8.399332323,107.9971227,12.38181224,649.6899744,1.801762397,0.172716477,68.30660479,16.5143488,9.573422976,10.37153308,10.95666666,446.7786666,244.2267483,167.654184,1.859394892,0.556530123,2.406826221
AK_45_AC_170,HABIL,1,3493,10,10.92868835,3.27103419,14.14624391,9.487333333,87.86866667,30.99835034,1866.109064,13.21133333,23.49666666,41.73666666,145.5715409,13.43801531,27.95297983,46.01889052,4.248100635,8.836652482,17.98679957,5.383577104,23.28235977,111.6408173,12.79955986,671.6097417,1.768011804,0.169481154,67.02708625,19.56778309,11.34350899,12.28918633,12.09666666,459.04,252.4666684,173.3106369,6.033546691,1.805883459,7.809905493
AK_45_AC_170,HABIL,1,3493,11,9.448761799,2.828081643,12.23060672,10.374,85.20866667,30.35435391,1827.340305,12.32466667,19.69666666,37.87333334,134.7253377,12.43677946,25.87026711,41.37051774,3.81899956,7.944061322,13.05371108,3.907068615,16.89690245,109.3214587,12.53364665,657.6569257,1.835512989,0.1759518,69.58612331,17.50348949,10.14683112,10.99274469,11.27333334,458.5333334,247.2216269,169.7100765,4.022364461,1.203922306,5.206603662
AK_45_AC_170,HABIL,1,3493,12,7.741154245,2.316982551,10.0202561,11.704,85.12,30.25701704,1821.480599,10.72866667,21.85,35.59333334,116.5192111,10.7561336,22.37428508,49.35022435,4.555623072,9.476342813,14.38185029,4.304590132,18.61606404,108.9708992,12.49345519,655.5480268,2.72600939,0.261314554,103.3457277,18.87968522,10.94461637,11.85703912,11.27333334,441.9146666,246.4288649,169.1658697,6.526855542,1.953534308,8.448451228
AK_45_AC_170,HABIL,1,3493,13,10.89074151,3.259676431,14.09712501,10.28533333,83.87866667,32.18310713,1937.431743,9.930666667,22.48333334,37.05,125.1961735,11.55712226,24.04045523,34.94026873,3.225409741,6.709310218,14.15416928,4.236443586,18.32135062,115.9077287,13.28875897,697.2786625,4.278536643,0.410139414,162.2035803,18.92269134,10.96954716,11.88404832,10.89333334,431.5786666,262.1159431,179.9345685,3.149587266,0.942693881,4.076868905
AK_45_AC_170,HABIL,1,3493,14,9.562602302,2.862154916,12.37796342,9.930666667,90.88333333,33.82308583,2036.158903,10.72866667,21.09,35.40333334,123.8016617,11.42839194,23.77267788,47.33592947,4.369679272,9.089553309,13.35728576,3.997930677,17.28985367,121.8141257,13.96592422,732.8104136,6.225686207,0.596792667,236.0219572,14.92312249,8.650983782,9.372192648,11.84333334,434.9226666,275.4727816,189.1036291,3.832630288,1.147133518,4.961009149
AK_45_AC_170,HABIL,1,3493,15,9.600549139,2.873512674,12.42708233,10.55133333,93.632,29.94435923,1802.658515,12.14733333,21.72333334,38.25333334,131.936314,12.17931882,25.33471241,46.4837278,4.291010742,8.925911598,13.96443511,4.179654797,18.07575611,107.8448595,12.36435534,648.7739879,12.80445553,1.227431791,485.4296467,15.39618977,8.925222463,9.669293859,11.33666666,498.7626666,243.8824173,167.4178113,3.225480936,0.965409396,4.17510671
